Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
227,4,Sep 20 2014,3:30 PM,Sat,Buffalo,36,,Norfolk State,7,ESPN3.com,,
228,4,Sep 20 2014,6:00 PM,Sat,Central Florida,41,,Bethune-Cookman,7,ESPN3.com,,
229,4,Sep 20 2014,7:00 PM,Sat,Cincinnati,31,,Miami (OH),24,CBSSN,Paul Brown Stadium - Cincinnati OH,
230,4,Sep 20 2014,2:00 PM,Sat,Colorado,21,,Hawaii,12,Pac-12 Network,,
231,4,Sep 20 2014,12:30 PM,Sat,Duke,47,,Tulane,13,RSN MSG ROOT-PIT STO,,
232,4,Sep 20 2014,3:30 PM,Sat,East Carolina,70,,North Carolina,41,ESPN U,,
233,4,Sep 20 2014,8:25 PM,Sat,(1) Florida State,23,,(22) Clemson,17,ABC,,
234,4,Sep 20 2014,10:00 PM,Sat,Fresno State,56,,Southern Utah,16,Mountain West Network,,
235,4,Sep 20 2014,12:00 PM,Sat,(13) Georgia,66,,Troy,0,SEC Network,,
236,4,Sep 20 2014,7:30 PM,Sat,Georgia Southern,28,@,South Alabama,6,ESPN3.com,,
237,4,Sep 20 2014,12:00 PM,Sat,Georgia Tech,27,@,Virginia Tech,24,ESPN,,
238,4,Sep 20 2014,8:00 PM,Sat,Houston,47,,Nevada-Las Vegas,14,ESPN3.com,,
239,4,Sep 20 2014,4:00 PM,Sat,Illinois,42,,Texas State,35,ESPNews,,
240,4,Sep 20 2014,4:00 PM,Sat,Indiana,31,@,(18) Missouri,27,SEC Network,,
241,4,Sep 20 2014,12:00 PM,Sat,Iowa,24,@,Pittsburgh,20,ESPN U,,
242,4,Sep 20 2014,3:30 PM,Sat,Kansas,24,,Central Michigan,10,FSN MSG+ SunSports,,
243,4,Sep 20 2014,3:30 PM,Sat,Louisville,34,@,Florida International,3,FS1,,
244,4,Sep 20 2014,2:00 PM,Sat,Marshall,48,@,Akron,17,ESPN3.com,,
245,4,Sep 20 2014,12:30 PM,Sat,Maryland,34,@,Syracuse,20,ACC Network,,
246,4,Sep 20 2014,7:00 PM,Sat,Memphis,36,,Middle Tennessee State,17,ESPN3.com,,
247,4,Sep 20 2014,12:00 PM,Sat,(11) Michigan State,73,,Eastern Michigan,14,Big Ten Network,,
248,4,Sep 20 2014,4:00 PM,Sat,Minnesota,24,,San Jose State,7,Big Ten Network,,
249,4,Sep 20 2014,7:00 PM,Sat,Mississippi State,34,@,(8) Louisiana State,29,ESPN,,
250,4,Sep 20 2014,8:00 PM,Sat,(24) Nebraska,41,,Miami (FL),31,ESPN 2,,
251,4,Sep 20 2014,8:00 PM,Sat,New Mexico,38,@,New Mexico State,35,AggieVision ESPN3.com,,
252,4,Sep 20 2014,6:00 PM,Sat,North Carolina State,42,,Presbyterian,0,ESPN3.com,,
253,4,Sep 20 2014,3:30 PM,Sat,North Texas,77,,Nicholls State,3,Sinclair,,
254,4,Sep 20 2014,12:00 PM,Sat,Northwestern,24,,Western Illinois,7,ESPNews,,
255,4,Sep 20 2014,7:00 PM,Sat,Northwestern State,30,@,Louisiana Tech,27,,,
256,4,Sep 20 2014,7:00 PM,Sat,Ohio,36,,Idaho,24,ESPN3.com,,
257,4,Sep 20 2014,7:30 PM,Sat,(4) Oklahoma,45,@,West Virginia,33,FOX,,
258,4,Sep 20 2014,12:00 PM,Sat,Old Dominion,45,@,Rice,42,FSN MSG+ ROOT-RM,,
259,4,Sep 20 2014,10:36 PM,Sat,(2) Oregon,38,@,Washington State,31,ESPN,,
260,4,Sep 20 2014,10:30 PM,Sat,Oregon State,28,,San Diego State,7,FS1,,
261,4,Sep 20 2014,4:00 PM,Sat,Penn State,48,,Massachusetts,7,Big Ten Network,,
262,4,Sep 20 2014,12:00 PM,Sat,Purdue,35,,Southern Illinois,13,Big Ten Network,,
263,4,Sep 20 2014,3:30 PM,Sat,Rutgers,31,@,Navy,24,CBSSN,,
264,4,Sep 20 2014,7:30 PM,Sat,(14) South Carolina,48,@,Vanderbilt,34,SEC Network,,
265,4,Sep 20 2014,7:00 PM,Sat,Southern Mississippi,21,,Appalachian State,20,American Sports Network,,
266,4,Sep 20 2014,1:00 PM,Sat,Temple,59,,Delaware State,0,ESPN3.com,,
267,4,Sep 20 2014,3:30 PM,Sat,(6) Texas A&M,58,@,Southern Methodist,6,ABC (ESPN 2 mirror),,
268,4,Sep 20 2014,7:00 PM,Sat,Toledo,34,,Ball State,23,ESPN3.com,,
269,4,Sep 20 2014,3:30 PM,Sat,Utah,26,@,Michigan,10,ABC (ESPN 2 mirror),,
270,4,Sep 20 2014,3:30 PM,Sat,Wake Forest,24,,Army,21,ESPN3.com,,
271,4,Sep 20 2014,6:00 PM,Sat,Washington,45,,Georgia State,14,Pac-12 Network,,
272,4,Sep 20 2014,7:00 PM,Sat,Western Michigan,45,,Murray State,14,ESPN3.com,,
273,4,Sep 20 2014,12:00 PM,Sat,(19) Wisconsin,68,,Bowling Green State,17,ESPN 2,,
274,4,Sep 20 2014,4:00 PM,Sat,Wyoming,20,,Florida Atlantic,19,Mountain West Network,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
275,5,Sep 25 2014,7:30 PM,Thu,Georgia Southern,34,,Appalachian State,14,ESPN U,,
276,5,Sep 25 2014,7:30 PM,Thu,(24) Oklahoma State,45,,Texas Tech,35,ESPN,,
277,5,Sep 25 2014,10:00 PM,Thu,(11) UCLA,62,@,(15) Arizona State,27,FS1,,
278,5,Sep 26 2014,8:00 PM,Fri,Fresno State,35,@,New Mexico,24,ESPN 2,,
279,5,Sep 26 2014,8:00 PM,Fri,Middle Tennessee State,41,@,Old Dominion,28,FS1,,
280,5,Sep 27 2014,7:00 PM,Sat,Air Force,28,,Boise State,14,CBSSN,,
281,5,Sep 27 2014,1:30 PM,Sat,Akron,21,@,Pittsburgh,10,ESPN3.com,,
282,5,Sep 27 2014,4:00 PM,Sat,(5) Auburn,45,,Louisiana Tech,17,SEC Network,,
283,5,Sep 27 2014,8:00 PM,Sat,(7) Baylor,49,@,Iowa State,28,FOX,,
284,5,Sep 27 2014,3:00 PM,Sat,Bowling Green State,47,@,Massachusetts,42,ESPN3.com,,
285,5,Sep 27 2014,3:30 PM,Sat,Buffalo,35,,Miami (OH),27,ESPN3.com,,
286,5,Sep 27 2014,4:00 PM,Sat,California,59,,Colorado,56,Pac-12 Network,,
287,5,Sep 27 2014,7:00 PM,Sat,Clemson,50,,North Carolina,35,ESPN U,,
288,5,Sep 27 2014,12:30 PM,Sat,Colorado State,24,@,Boston College,21,RSN MSG NESN ROOT-PIT,,
289,5,Sep 27 2014,5:00 PM,Sat,Florida Atlantic,41,,Texas-San Antonio,37,Sinclair Network,,
290,5,Sep 27 2014,3:30 PM,Sat,Florida International,34,@,Alabama-Birmingham,20,ASN CSN-BAY CAL,,
291,5,Sep 27 2014,3:30 PM,Sat,(1) Florida State,56,@,North Carolina State,41,ABC (ESPN 2 mirror),,
292,5,Sep 27 2014,12:00 PM,Sat,(12) Georgia,35,,Tennessee,32,ESPN,,
293,5,Sep 27 2014,12:00 PM,Sat,Iowa,24,@,Purdue,10,Big Ten Network,,
294,5,Sep 27 2014,12:00 PM,Sat,(25) Kansas State,58,,Texas-El Paso,28,FSN MSG+ MASN2 SSO,,
295,5,Sep 27 2014,12:00 PM,Sat,Kentucky,17,,Vanderbilt,7,SEC Network,,
296,5,Sep 27 2014,7:30 PM,Sat,(17) Louisiana State,63,,New Mexico State,7,SEC Network,,
297,5,Sep 27 2014,7:00 PM,Sat,Louisiana-Monroe,22,,Troy,20,ESPN3.com,,
298,5,Sep 27 2014,3:30 PM,Sat,Louisville,20,,Wake Forest,10,ESPN U,,
299,5,Sep 27 2014,1:30 PM,Sat,Maryland,37,@,Indiana,15,Big Ten Network,,
300,5,Sep 27 2014,7:30 PM,Sat,Miami (FL),22,,Duke,10,ESPN 2,,
301,5,Sep 27 2014,12:00 PM,Sat,(9) Michigan State,56,,Wyoming,14,ESPN 2,,
302,5,Sep 27 2014,3:30 PM,Sat,Minnesota,30,@,Michigan,14,ABC,,
303,5,Sep 27 2014,7:30 PM,Sat,(10) Mississippi,24,,Memphis,3,FSN-FL OH DET MW SD,,
304,5,Sep 27 2014,7:00 PM,Sat,Missouri,21,@,(13) South Carolina,20,ESPN,,
305,5,Sep 27 2014,9:00 PM,Sat,(21) Nebraska,45,,Illinois,14,Big Ten Network,,
306,5,Sep 27 2014,10:30 PM,Sat,Nevada,21,@,San Jose State,10,CBSSN,,
307,5,Sep 27 2014,12:00 PM,Sat,Northwestern,29,@,Penn State,6,Big Ten Network,,
308,5,Sep 27 2014,8:00 PM,Sat,(8) Notre Dame,31,,Syracuse,15,ABC,MetLife Stadium - East Rutherford NJ,
309,5,Sep 27 2014,2:00 PM,Sat,Ohio,34,,Eastern Illinois,19,ESPN3.com,,
310,5,Sep 27 2014,6:00 PM,Sat,(22) Ohio State,50,,Cincinnati,28,Big Ten Network,,
311,5,Sep 27 2014,7:00 PM,Sat,Rice,41,@,Southern Mississippi,23,FCS,,
312,5,Sep 27 2014,12:00 PM,Sat,Rutgers,31,,Tulane,6,ESPNews,,
313,5,Sep 27 2014,8:00 PM,Sat,San Diego State,34,,Nevada-Las Vegas,17,ESPN3.com,,
314,5,Sep 27 2014,5:00 PM,Sat,South Alabama,34,@,Idaho,10,ESPN3.com,,
315,5,Sep 27 2014,10:30 PM,Sat,(18) Southern California,35,,Oregon State,10,ESPN,,
316,5,Sep 27 2014,4:15 PM,Sat,(16) Stanford,20,@,Washington,13,FOX,,
317,5,Sep 27 2014,4:00 PM,Sat,Temple,36,@,Connecticut,10,ESPNews,,
318,5,Sep 27 2014,4:00 PM,Sat,Texas,23,@,Kansas,0,FS1,,
319,5,Sep 27 2014,3:30 PM,Sat,(6) Texas A&M,35,,Arkansas,28,CBS,AT&T Stadium - Arlington TX,
320,5,Sep 27 2014,12:00 PM,Sat,Texas Christian,56,@,Southern Methodist,0,CBSSN,,
321,5,Sep 27 2014,8:00 PM,Sat,Texas State,37,@,Tulsa,34,ESPNews,,
322,5,Sep 27 2014,7:00 PM,Sat,Toledo,42,,Central Michigan,28,ESPN3.com,,
323,5,Sep 27 2014,3:30 PM,Sat,Virginia,45,,Kent State,13,ESPN3.com,,
324,5,Sep 27 2014,12:30 PM,Sat,Virginia Tech,35,,Western Michigan,17,ACC Network,,
325,5,Sep 27 2014,8:00 PM,Sat,Washington State,28,@,Utah,27,Pac-12 Network,,
326,5,Sep 27 2014,3:30 PM,Sat,Western Kentucky,36,@,Navy,27,CBSSN,,
327,5,Sep 27 2014,12:00 PM,Sat,(19) Wisconsin,27,,South Florida,10,ESPN U,,
328,5,Sep 27 2014,1:00 PM,Sat,Yale,49,,Army,43,FCS-Atlantic,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
329,6,Oct 2 2014,10:30 PM,Thu,Arizona,31,@,(2) Oregon,24,ESPN,,
330,6,Oct 2 2014,7:00 PM,Thu,Central Florida,17,@,Houston,12,ESPN,,
331,6,Oct 2 2014,7:00 PM,Thu,Florida International,38,,Florida Atlantic,10,FSN,,
332,6,Oct 3 2014,10:00 PM,Fri,Fresno State,24,,San Diego State,13,CBSSN,,
333,6,Oct 3 2014,7:00 PM,Fri,Louisville,28,@,Syracuse,6,ESPN,,
334,6,Oct 3 2014,10:26 PM,Fri,Utah State,35,@,(18) Brigham Young,20,ESPN,,
335,6,Oct 4 2014,3:30 PM,Sat,Air Force,30,,Navy,21,CBSSN,,
336,6,Oct 4 2014,2:00 PM,Sat,Akron,31,,Eastern Michigan,6,ESPN3.com,,
337,6,Oct 4 2014,7:00 PM,Sat,Alabama-Birmingham,42,@,Western Kentucky,39,C-USA Digital Network,,
338,6,Oct 4 2014,7:30 PM,Sat,Arizona State,38,@,(16) Southern California,34,FOX,,
339,6,Oct 4 2014,7:00 PM,Sat,Arkansas State,28,,Louisiana-Monroe,14,ESPN3.com,,
340,6,Oct 4 2014,12:00 PM,Sat,Army,33,,Ball State,24,CBSSN,,
341,6,Oct 4 2014,7:00 PM,Sat,(5) Auburn,41,,(15) Louisiana State,7,ESPN,,
342,6,Oct 4 2014,3:30 PM,Sat,(7) Baylor,28,@,Texas,7,ABC,,
343,6,Oct 4 2014,10:30 PM,Sat,Boise State,51,@,Nevada,46,CBSSN,,
344,6,Oct 4 2014,3:30 PM,Sat,Bowling Green State,36,,Buffalo,35,ESPN Game Plan ESPN3.com,,
345,6,Oct 4 2014,10:30 PM,Sat,California,60,@,Washington State,59,Pac-12 Network,,
346,6,Oct 4 2014,3:30 PM,Sat,Central Michigan,28,,Ohio,10,ESPN3.com,,
347,6,Oct 4 2014,3:30 PM,Sat,Clemson,41,,North Carolina State,0,ESPN U,,
348,6,Oct 4 2014,3:00 PM,Sat,Colorado State,42,,Tulsa,17,Mountain West Network,,
349,6,Oct 4 2014,12:00 PM,Sat,(22) East Carolina,45,,Southern Methodist,24,ESPN U,,
350,6,Oct 4 2014,12:00 PM,Sat,Florida,10,@,Tennessee,9,SEC Network,,
351,6,Oct 4 2014,3:30 PM,Sat,(1) Florida State,43,,Wake Forest,3,ABC Regional,,
352,6,Oct 4 2014,4:00 PM,Sat,(13) Georgia,44,,Vanderbilt,17,SEC Network,,
353,6,Oct 4 2014,8:00 PM,Sat,Georgia Southern,36,@,New Mexico State,28,FSN-SW AZ+ ESPN3.com,,
354,6,Oct 4 2014,7:30 PM,Sat,Georgia Tech,28,,Miami (FL),17,ESPN 2,,
355,6,Oct 4 2014,2:30 PM,Sat,Indiana,49,,North Texas,24,Big Ten Network,,
356,6,Oct 4 2014,7:00 PM,Sat,(23) Kansas State,45,,Texas Tech,13,ESPN U,,
357,6,Oct 4 2014,7:30 PM,Sat,Kentucky,45,,South Carolina,38,SEC Network,,
358,6,Oct 4 2014,7:00 PM,Sat,Louisiana Tech,55,,Texas-El Paso,3,FCS,,
359,6,Oct 4 2014,7:00 PM,Sat,Louisiana-Lafayette,34,,Georgia State,31,ESPN3.com,,
360,6,Oct 4 2014,12:00 PM,Sat,Marshall,56,@,Old Dominion,14,FSN ROOT-NW PIT MSG+,,
361,6,Oct 4 2014,7:00 PM,Sat,Memphis,41,,Cincinnati,14,CBSSN,Paul Brown Stadium - Cincinnati OH,
362,6,Oct 4 2014,2:30 PM,Sat,Miami (OH),42,,Massachusetts,41,ESPN3.com,,
363,6,Oct 4 2014,8:00 PM,Sat,(10) Michigan State,27,,(19) Nebraska,22,ABC,,
364,6,Oct 4 2014,12:00 PM,Sat,Middle Tennessee State,37,,Southern Mississippi,31,ASN CSN-CHI,,
365,6,Oct 4 2014,3:30 PM,Sat,(11) Mississippi,23,,(3) Alabama,17,CBS,,
366,6,Oct 4 2014,12:00 PM,Sat,(12) Mississippi State,48,,(6) Texas A&M,31,ESPN,,
367,6,Oct 4 2014,3:30 PM,Sat,New Mexico,21,@,Texas-San Antonio,9,ASN CSN-CHI,,
368,6,Oct 4 2014,5:00 PM,Sat,Northern Illinois,17,,Kent State,14,ESPN3.com,,
369,6,Oct 4 2014,3:30 PM,Sat,Northwestern,20,,(17) Wisconsin,14,ESPN 2,,
370,6,Oct 4 2014,3:30 PM,Sat,(9) Notre Dame,17,,(14) Stanford,14,NBC,,
371,6,Oct 4 2014,12:00 PM,Sat,(20) Ohio State,52,@,Maryland,24,ABC,,
372,6,Oct 4 2014,12:00 PM,Sat,(21) Oklahoma State,37,,Iowa State,20,FS1,,
373,6,Oct 4 2014,4:00 PM,Sat,Oregon State,36,@,Colorado,31,Pac-12 Network,,
374,6,Oct 4 2014,12:00 PM,Sat,Purdue,38,@,Illinois,27,ESPN 2,,
375,6,Oct 4 2014,7:00 PM,Sat,Rice,28,,Hawaii,14,ASN CSN-BAY TCN-PHI,,
376,6,Oct 4 2014,7:00 PM,Sat,Rutgers,26,,Michigan,24,Big Ten Network,,
377,6,Oct 4 2014,8:00 PM,Sat,San Jose State,33,,Nevada-Las Vegas,10,ESPNews,,
378,6,Oct 4 2014,6:00 PM,Sat,South Alabama,47,@,Appalachian State,21,ESPN3.com,,
379,6,Oct 4 2014,3:30 PM,Sat,(25) Texas Christian,37,,(4) Oklahoma,33,FOX,,
380,6,Oct 4 2014,7:00 PM,Sat,Texas State,35,,Idaho,30,ESPN3.com,,
381,6,Oct 4 2014,7:00 PM,Sat,Toledo,20,@,Western Michigan,19,ESPN3.com,,
382,6,Oct 4 2014,10:30 PM,Sat,Utah,30,@,(8) UCLA,28,ESPN,,
383,6,Oct 4 2014,7:30 PM,Sat,Virginia,24,,Pittsburgh,19,RSN YES ROOT-PIT STO,,
384,6,Oct 4 2014,12:30 PM,Sat,Virginia Tech,34,@,North Carolina,17,ACC Network,,
385,6,Oct 4 2014,4:00 PM,Sat,West Virginia,33,,Kansas,14,FSN ROOT-PIT,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
386,7,Oct 9 2014,7:30 PM,Thu,Central Florida,31,,Brigham Young,24,ESPN,,
387,7,Oct 10 2014,10:00 PM,Fri,Nevada-Las Vegas,30,,Fresno State,27,CBSSN,,
388,7,Oct 10 2014,9:30 PM,Fri,San Diego State,24,@,New Mexico,14,ESPN U,,
389,7,Oct 10 2014,9:00 PM,Fri,(25) Stanford,34,,Washington State,17,ESPN,,
390,7,Oct 11 2014,2:00 PM,Sat,Akron,29,,Miami (OH),19,ESPN3.com,,
391,7,Oct 11 2014,6:00 PM,Sat,(7) Alabama,14,@,Arkansas,13,ESPN,,
392,7,Oct 11 2014,3:30 PM,Sat,Alabama-Birmingham,56,,North Texas,21,Sinclair ASN,,
393,7,Oct 11 2014,2:00 PM,Sat,Arkansas State,52,@,Georgia State,10,ESPN3.com,,
394,7,Oct 11 2014,3:30 PM,Sat,(5) Baylor,61,,(9) Texas Christian,58,ESPN 2,,
395,7,Oct 11 2014,3:30 PM,Sat,Boston College,30,@,North Carolina State,14,CSN NESN ROOT-NW PIT,,
396,7,Oct 11 2014,2:00 PM,Sat,Bowling Green State,31,@,Ohio,13,ESPN3.com,,
397,7,Oct 11 2014,5:00 PM,Sat,Central Michigan,34,@,Northern Illinois,17,ESPN3.com,,
398,7,Oct 11 2014,3:30 PM,Sat,Clemson,23,,Louisville,17,ESPN U,,
399,7,Oct 11 2014,10:30 PM,Sat,Colorado State,31,@,Nevada,24,CBSSN,,
400,7,Oct 11 2014,12:30 PM,Sat,Duke,31,@,(22) Georgia Tech,25,ACC Network,,
401,7,Oct 11 2014,7:00 PM,Sat,(19) East Carolina,28,@,South Florida,17,ESPN U,,
402,7,Oct 11 2014,1:00 PM,Sat,Eastern Michigan,37,,Buffalo,27,ESPN3.com,,
403,7,Oct 11 2014,12:00 PM,Sat,(1) Florida State,38,@,Syracuse,20,ESPN,,
404,7,Oct 11 2014,12:00 PM,Sat,(13) Georgia,34,@,(23) Missouri,0,CBS,,
405,7,Oct 11 2014,6:00 PM,Sat,Georgia Southern,47,,Idaho,24,ESPN3.com,,
406,7,Oct 11 2014,11:59 PM,Sat,Hawaii,38,,Wyoming,28,Oceanic PPV ROOT-RM,,
407,7,Oct 11 2014,7:00 PM,Sat,Houston,28,@,Memphis,24,CBSSN,,
408,7,Oct 11 2014,12:00 PM,Sat,Iowa,45,,Indiana,29,Big Ten Network,,
409,7,Oct 11 2014,3:30 PM,Sat,Iowa State,37,,Toledo,30,Mediacom Cable,,
410,7,Oct 11 2014,12:00 PM,Sat,Kentucky,48,,Louisiana-Monroe,14,SEC Network,,
411,7,Oct 11 2014,3:30 PM,Sat,Liberty,55,@,Appalachian State,48,ESPN3.com,,
412,7,Oct 11 2014,7:30 PM,Sat,Louisiana State,30,@,Florida,27,SEC Network,,
413,7,Oct 11 2014,12:00 PM,Sat,Marshall,49,,Middle Tennessee State,24,FSN MSG+ ROOT-RM SPO,,
414,7,Oct 11 2014,2:00 PM,Sat,Massachusetts,40,@,Kent State,17,ESPN3.com,,
415,7,Oct 11 2014,12:00 PM,Sat,Miami (FL),55,,Cincinnati,34,MSG NESN ROOT-NW PIT,,
416,7,Oct 11 2014,7:00 PM,Sat,Michigan,18,,Penn State,13,ESPN,,
417,7,Oct 11 2014,3:30 PM,Sat,(8) Michigan State,45,@,Purdue,31,ABC,,
418,7,Oct 11 2014,12:00 PM,Sat,Minnesota,24,,Northwestern,17,Big Ten Network,,
419,7,Oct 11 2014,9:15 PM,Sat,(3) Mississippi,35,@,(14) Texas A&M,20,ESPN,,
420,7,Oct 11 2014,3:39 PM,Sat,(3) Mississippi State,38,,(2) Auburn,23,CBS,,
421,7,Oct 11 2014,3:30 PM,Sat,Navy,51,,Virginia Military Institute,14,CBSSN,,
422,7,Oct 11 2014,3:30 PM,Sat,(6) Notre Dame,50,,North Carolina,43,NBC,,
423,7,Oct 11 2014,12:00 PM,Sat,(11) Oklahoma,31,,Texas,26,ABC,Cotton Bowl - Dallas TX,
424,7,Oct 11 2014,4:00 PM,Sat,(16) Oklahoma State,27,@,Kansas,20,FS1,,
425,7,Oct 11 2014,3:30 PM,Sat,(12) Oregon,42,@,(18) UCLA,30,FOX,,
426,7,Oct 11 2014,12:00 PM,Sat,Rice,41,@,Army,21,CBSSN,,
427,7,Oct 11 2014,10:30 PM,Sat,Southern California,28,@,(10) Arizona,26,ESPN 2,,
428,7,Oct 11 2014,12:00 PM,Sat,Temple,35,,Tulsa,24,ESPNews,,
429,7,Oct 11 2014,4:00 PM,Sat,Tennessee,45,,Chattanooga,10,SEC Network,,
430,7,Oct 11 2014,8:00 PM,Sat,Texas-El Paso,42,,Old Dominion,35,MyTVZ33 Sinclair,,
431,7,Oct 11 2014,7:00 PM,Sat,Texas-San Antonio,16,,Florida International,13,FCS,,
432,7,Oct 11 2014,3:00 PM,Sat,Troy,41,,New Mexico State,24,ESPN3.com,,
433,7,Oct 11 2014,8:00 PM,Sat,Tulane,12,,Connecticut,3,ESPNews,,
434,7,Oct 11 2014,10:15 PM,Sat,Utah State,34,,Air Force,16,ESPN U,,
435,7,Oct 11 2014,7:30 PM,Sat,Vanderbilt,21,,Charleston Southern,20,FSN-DET SW SportSouth,,
436,7,Oct 11 2014,6:00 PM,Sat,Washington,31,@,California,7,Pac-12 Network,,
437,7,Oct 11 2014,12:00 PM,Sat,West Virginia,37,@,Texas Tech,34,FS1,,
438,7,Oct 11 2014,3:00 PM,Sat,Western Michigan,42,@,Ball State,38,ESPN3.com,,
439,7,Oct 11 2014,12:00 PM,Sat,Wisconsin,38,,Illinois,28,ESPN 2,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
440,8,Oct 14 2014,8:00 PM,Tue,Louisiana-Lafayette,34,@,Texas State,10,ESPN 2,,
441,8,Oct 16 2014,7:30 PM,Thu,Pittsburgh,21,,Virginia Tech,16,ESPN,,
442,8,Oct 16 2014,10:00 PM,Thu,(20) Utah,29,@,Oregon State,23,FS2,,
443,8,Oct 17 2014,8:00 PM,Fri,Boise State,37,,Fresno State,27,ESPN,,
444,8,Oct 17 2014,9:00 PM,Fri,Houston,31,,Temple,10,ESPN U,,
445,8,Oct 18 2014,3:30 PM,Sat,Air Force,35,,New Mexico,31,ROOT-NW,,
446,8,Oct 18 2014,3:30 PM,Sat,(7) Alabama,59,,(21) Texas A&M,0,CBS,,
447,8,Oct 18 2014,3:00 PM,Sat,Appalachian State,53,@,Troy,14,ESPN3.com,,
448,8,Oct 18 2014,10:30 PM,Sat,(17) Arizona State,26,,(23) Stanford,10,ESPN,,
449,8,Oct 18 2014,3:30 PM,Sat,Ball State,32,@,Central Michigan,29,ESPN3.com,,
450,8,Oct 18 2014,12:00 PM,Sat,Central Florida,20,,Tulane,13,ESPN U,,
451,8,Oct 18 2014,3:30 PM,Sat,Cincinnati,41,@,Southern Methodist,3,CBSSN,,
452,8,Oct 18 2014,3:30 PM,Sat,(24) Clemson,17,@,Boston College,13,ESPN U,,
453,8,Oct 18 2014,7:00 PM,Sat,Colorado State,16,,Utah State,13,CBSSN,,
